Datum;Tijd;Parameter;Locatie;Waarde;Verwachting;Eenheid;Bemonsteringshoogte;Referentievlak;
25-5-2023;22:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;98;;cm;-999999999;NVT;
25-5-2023;22:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;93;;cm;-999999999;NVT;
25-5-2023;22:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;98;;cm;-999999999;NVT;
25-5-2023;23:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;101;;cm;-999999999;NVT;
25-5-2023;23:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;98;;cm;-999999999;NVT;
25-5-2023;23:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;102;;cm;-999999999;NVT;
25-5-2023;23:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;103;;cm;-999999999;NVT;
25-5-2023;23:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;101;;cm;-999999999;NVT;
25-5-2023;23:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;105;;cm;-999999999;NVT;
26-5-2023;00:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;105;;cm;-999999999;NVT;
26-5-2023;00:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;100;;cm;-999999999;NVT;
26-5-2023;00:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;101;;cm;-999999999;NVT;
26-5-2023;00:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;102;;cm;-999999999;NVT;
26-5-2023;00:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;103;;cm;-999999999;NVT;
26-5-2023;00:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;104;;cm;-999999999;NVT;
26-5-2023;01:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;101;;cm;-999999999;NVT;
26-5-2023;01:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;100;;cm;-999999999;NVT;
26-5-2023;01:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;100;;cm;-999999999;NVT;
26-5-2023;01:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;99;;cm;-999999999;NVT;
26-5-2023;01:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;100;;cm;-999999999;NVT;
26-5-2023;01:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;103;;cm;-999999999;NVT;
26-5-2023;02:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;102;;cm;-999999999;NVT;
26-5-2023;02:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;95;;cm;-999999999;NVT;
26-5-2023;02:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;94;;cm;-999999999;NVT;
26-5-2023;02:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;97;;cm;-999999999;NVT;
26-5-2023;02:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;94;;cm;-999999999;NVT;
26-5-2023;02:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;93;;cm;-999999999;NVT;
26-5-2023;03:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;91;;cm;-999999999;NVT;
26-5-2023;03:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;88;;cm;-999999999;NVT;
26-5-2023;03:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;89;;cm;-999999999;NVT;
26-5-2023;03:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;89;;cm;-999999999;NVT;
26-5-2023;03:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;88;;cm;-999999999;NVT;
26-5-2023;03:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;89;;cm;-999999999;NVT;
26-5-2023;04:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;IJgeul;86;;cm;-999999999;NVT;
