Datum;Tijd;Parameter;Locatie;Waarde;Verwachting;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
25-5-2023;22:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.18;;m/s;30.20;graden;-999999999;NVT;
25-5-2023;22:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.47;;m/s;30.80;graden;-999999999;NVT;
25-5-2023;22:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.29;;m/s;31.60;graden;-999999999;NVT;
25-5-2023;23:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.53;;m/s;34.40;graden;-999999999;NVT;
25-5-2023;23:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.12;;m/s;34.60;graden;-999999999;NVT;
25-5-2023;23:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.52;;m/s;29.90;graden;-999999999;NVT;
25-5-2023;23:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.98;;m/s;27.80;graden;-999999999;NVT;
25-5-2023;23:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.67;;m/s;28.80;graden;-999999999;NVT;
25-5-2023;23:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.46;;m/s;30.80;graden;-999999999;NVT;
26-5-2023;00:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.13;;m/s;35.50;graden;-999999999;NVT;
26-5-2023;00:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.52;;m/s;37.60;graden;-999999999;NVT;
26-5-2023;00:20:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.73;;m/s;40.80;graden;-999999999;NVT;
26-5-2023;00:30:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.66;;m/s;43.20;graden;-999999999;NVT;
26-5-2023;00:40:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;6.06;;m/s;45.80;graden;-999999999;NVT;
26-5-2023;00:50:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.89;;m/s;43.80;graden;-999999999;NVT;
26-5-2023;01:00:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.83;;m/s;40.80;graden;-999999999;NVT;
26-5-2023;01:10:00;Windsnelheid Lucht t.o.v. Mean Sea Level in m/s;IJmuiden Buitenhaven;5.96;;m/s;40.10;graden;-999999999;NVT;
