Tijdstempel	E-mailadres	Datum	Start tijd	Eind tijd	Spot	Hoe goed was de surf?	Hoe was de surf? Alleen invullen bij een nat pak (: [Mellow]	Type data	Type board	Hoe was de surf? Alleen invullen bij een nat pak (: [Clean]	Hoe was de surf? Alleen invullen bij een nat pak (: [Krachtig]	Hoe was de surf? Alleen invullen bij een nat pak (: [Lange ritjes]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stijle golven]	Hoe was de surf? Alleen invullen bij een nat pak (: [Stroming]	Hoe was de surf? Alleen invullen bij een nat pak (: [Crowd]	Hoe was de surf? Alleen invullen bij een nat pak (: [Hoog]	Hoe was de surf? Alleen invullen bij een nat pak (: [Windy]	Hoe hoog was het?	Hoe was de surf? Alleen invullen bij een nat pak (: [Voor beginners]	Best geschikt voor ...	Data comments
4-9-2025 12:03:22		12-9-2025	9:15:00	11:00:00	Katwijk aan zee	6		Nat pak		Een beetje	Best wel	Een beetje	Best wel	Heel erg	Een beetje	Best wel	Best wel	Best wel	Een beetje	Shortboard, Fish/funboard, Longboard	
3-9-2025 13:23:12		3-9-2025	11:00:00	12:00:00	Katwijk aan zee	7,5		Nat pak		Best wel				Best wel		Best wel		Borst-hoog		Shortboard	
24-8-2025 21:09:26		24-8-2025	9:30:00	11:00:00	ZV Bloemendaal	7		Nat pak		Best wel	Helemaal niet	Een beetje	Helemaal niet	Een beetje	Heel erg	Een beetje	Helemaal niet	Heup-hoog	Best wel	Fish/funboard, Longboard	
21-8-2025 23:17:04		21-8-2025	20:00:00	21:30:00	IJmuiden	5,5		Nat pak	Longboard	Best wel	Helemaal niet	Een beetje	Een beetje	Best wel	Helemaal niet	Helemaal niet	Een beetje	Heup-hoog	Een beetje	Longboard	
17-8-2025 16:08:30		17-8-2025	13:30:00	15:00:00	ZV Parnassia	6		Nat pak	Fish of funboard	Een beetje	Een beetje	Helemaal niet	Best wel	Een beetje	Een beetje	Best wel	Een beetje	Navel-hoog	Best wel		
16-8-2025 16:31:06		16-8-2025	14:30:00	15:30:00	ZV Parnassia	6		Nat pak	Longboard	Een beetje	Best wel	Helemaal niet	Best wel	Heel erg	Helemaal niet	Best wel	Best wel	Borst-hoog	Een beetje		
16-7-2025 19:56:39		16-7-2025	19:00:00	21:00:00	ZV Bloemendaal	6		Eyeball		Een beetje					Een beetje	Best wel		Borst-hoog			
29-11-2024		2-7-2024	18:45	19:15	Wijk aan zee	7		Webcam	Shortboard												Pim stuurde naae zichzelf: *02-07-2024* 19:00 wijk is choppy, maar wel hoog. Licht druk. Voor shortboarders wel nice. Longboarders minder. 7 voor short en fish, 5 voor longboard. Golven waren te stijl voor longboarders. Via de cam
29-11-2024		2-7-2024	18:45	19:15	Wijk aan zee	7		Webcam	Fish of funboard												Pim stuurde naae zichzelf: *02-07-2024* 19:00 wijk is choppy, maar wel hoog. Licht druk. Voor shortboarders wel nice. Longboarders minder. 7 voor short en fish, 5 voor longboard. Golven waren te stijl voor longboarders. Via de cam
29-11-2024		2-7-2024	18:45	19:15	Wijk aan zee	5		Webcam	Longboard												Pim stuurde naae zichzelf: *02-07-2024* 19:00 wijk is choppy, maar wel hoog. Licht druk. Voor shortboarders wel nice. Longboarders minder. 7 voor short en fish, 5 voor longboard. Golven waren te stijl voor longboarders. Via de cam
